SLO Latency,SLO Throughput,Frontend,Cache,Backend,Average Latency,Peak Throughput,Cumulative Carbon Cost,Frontend Servers,Cache Servers,Backend Servers,Cache Hit Rate,Embodied Cost,Active Cost,Idle Cost,Replacement Cost,Frontend Size (GB),Cache Size (GB),Backend Size (GB),Total Size (GB),Simulation Years
10,10000000,DRAM,DRAM,Samsung PM9A3,4.256436,10000000.0,117830711321.63838,500000.0,500000.0,2000000.0,0.2048,2508800000.0,79125799591.64159,33738511729.996803,2457600000.0,2048000000.0,2048000000.0,7680000000.0,11776000000.0,10
10,10000000,DRAM,DRAM,Seagate Exos X18,7.500852,10000000.0,127535733141.94878,500000.0,500000.0,37037038.0,0.2048,2413333362.8,87137695544.81787,35718037508.730896,2266666725.6,2048000000.0,2048000000.0,666666684000.0,670762684000.0,10
10,10000000,DRAM,DRAM,Fujifilm LTO Ultrium 9,7956.19282,10000000.0,113845304588.32639,500000.0,500000.0,25000000.0,0.2048,1469000000.0,78710993868.32639,33665310720.000004,0,2048000000.0,2048000000.0,450000000000.0,454096000000.0,10
10,10000000,DRAM,DRAM,Project Silica,1594.59282,10000000.0,113682085437.97638,500000.0,500000.0,47619048.0,0.2048,1313333333.6,78703441384.37639,33665310720.000004,0,2048000000.0,2048000000.0,333333336000.0,337429336000.0,10
10,10000000,DRAM,Samsung PM9A3,Samsung PM9A3,3.4465700000000004,10000000.0,65123439670.14399,500000.0,2000000.0,2000000.0,0.768,3097600000.0,40164574294.65599,16946065375.488003,4915200000.0,2048000000.0,7680000000.0,7680000000.0,17408000000.0,10
10,10000000,DRAM,Samsung PM9A3,Seagate Exos X18,4.39313,10000000.0,67752042074.69491,500000.0,2000000.0,37037038.0,0.768,3002133362.8,42502048969.123924,17523593017.170986,4724266725.6,2048000000.0,7680000000.0,666666684000.0,676394684000.0,10
10,10000000,DRAM,Samsung PM9A3,Fujifilm LTO Ultrium 9,2323.42801,10000000.0,61483663460.22399,500000.0,2000000.0,25000000.0,0.768,2057800000.0,40043554516.22399,16924708944.000002,2457600000.0,2048000000.0,7680000000.0,450000000000.0,459728000000.0,10
10,10000000,DRAM,Samsung PM9A3,Project Silica,467.42801,10000000.0,61325793352.83254,500000.0,2000000.0,47619048.0,0.768,1902133333.6,40041351075.232544,16924708944.000002,2457600000.0,2048000000.0,7680000000.0,333333336000.0,343061336000.0,10
10,10000000,Samsung PM9A3,DRAM,Samsung PM9A3,4.336426,10000000.0,65581400113.63839,2000000.0,500000.0,2000000.0,0.2048,3097600000.0,40570690159.641594,16997909953.996801,4915200000.0,7680000000.0,2048000000.0,7680000000.0,17408000000.0,10
10,10000000,Samsung PM9A3,DRAM,Seagate Exos X18,7.5808420000000005,10000000.0,75286421933.94878,2000000.0,500000.0,37037038.0,0.2048,3002133362.8,48582586112.81789,18977435732.730896,4724266725.6,7680000000.0,2048000000.0,666666684000.0,676394684000.0,10
10,10000000,Samsung PM9A3,DRAM,Fujifilm LTO Ultrium 9,7956.2728099999995,10000000.0,61595993380.32639,2000000.0,500000.0,25000000.0,0.2048,2057800000.0,40155884436.32639,16924708944.000002,2457600000.0,7680000000.0,2048000000.0,450000000000.0,459728000000.0,10
10,10000000,Samsung PM9A3,DRAM,Project Silica,1594.67281,10000000.0,61432774229.97639,2000000.0,500000.0,47619048.0,0.2048,1902133333.6,40148331952.37639,16924708944.000002,2457600000.0,7680000000.0,2048000000.0,333333336000.0,343061336000.0,10
10,10000000,Samsung PM9A3,Samsung PM9A3,Samsung PM9A3,3.52656,10000000.0,12874128462.144001,2000000.0,2000000.0,2000000.0,0.768,3686400000.0,1609464862.6559997,205463599.488,7372800000.0,7680000000.0,7680000000.0,7680000000.0,23040000000.0,10
10,10000000,Samsung PM9A3,Samsung PM9A3,Seagate Exos X18,4.47312,10000000.0,15502730866.694918,2000000.0,2000000.0,37037038.0,0.768,3590933362.8,3946939537.123932,782991241.1709855,7181866725.6,7680000000.0,7680000000.0,666666684000.0,682026684000.0,10
10,10000000,Samsung PM9A3,Samsung PM9A3,Fujifilm LTO Ultrium 9,2323.508,10000000.0,9234352252.224,2000000.0,2000000.0,25000000.0,0.768,2646600000.0,1488445084.2239997,184107168.0,4915200000.0,7680000000.0,7680000000.0,450000000000.0,465360000000.0,10
10,10000000,Samsung PM9A3,Samsung PM9A3,Project Silica,467.508,10000000.0,9076482144.83255,2000000.0,2000000.0,47619048.0,0.768,2490933333.6,1486241643.2325504,184107168.0,4915200000.0,7680000000.0,7680000000.0,333333336000.0,348693336000.0,10
